Dog Shelter Intake Data - Q1 2025 Records with Pricing and owner Info
Last updated 2025-03-31
---

dog_id,name,breed,age,color,price,insured,intake_date,sale_date,new owner
0013,Buddy,Labrador Retriever,5,Yellow,450.50,1,2023-01-15,03/20-2023,John Smith
3382,Lucy,German Shepherd,3,Black and tan,600.00,1,2023-02-10,04/01-2023,Maria Garcia
4200,Max,Golden Retriever,7,Golden,550.75,0,2023-03-05,06/15-2023,James Johnson
6152,Daisy,Bulldog,4,White,700.00,1,2023-04-20,07/11-2023,Renée Dubois
8186,Charlie,Beagle,6,White,300.25,0,2023-05-11,08/02-2023,Kenji Tanaka
1893,Lúna,Bulldog,2,Tan,800.00,1,2023-06-01,09/10-2023,Sofía Müller
4094,Cooper,Dachshund,5,Black and mahogany,650.50,1,2023-07-15,10/05-2023,Fatima Al-Sayed
1099,Sadie,Dachshund,8,Red,400.00,0,2023-08-22,11/19-2023,Seán Kelly
2652,Milo,Boxer,4,Fawn,580.90,1,2023-09-03,12/28-2023,Olga Petrova
6635,Bella,Boxer,3,Black and white,750.00,1,2023-10-18,01/15-2024,João Silva
8522,Rocky,Boxer,9,Gold and white,500.00,0,2023-11-09,02/20-2024,Hélène Tremblay
5522,Zoé,German Shepherd,2,Tan,620.25,1,2023-12-01,03/11-2024,Álvaro Núñez
6988,Bear,Boxer,6,Rust,900.00,1,2024-01-25,,
8380,Ruby,Pug,4,Rust,720.50,0,2024-02-14,,
8774,Duke,Golden Retriever,5,White,850.00,1,2024-03-10,,
1288,Penny,Golden Retriever,7,Orange,680.75,0,2024-04-05,,
5754,Léo,Bull Terrier,10,Blue and tan,530.00,1,2023-05-20,07/01-2023,Agnès Dubois
6455,Coco,French Bulldog,-1,Brindle,950.00,1,2023-06-12,08/15-2023,Emil Jørgensen
7717,Jack,Border Collie,3,Black and white,580.50,0,2023-07-07,09/18-2023,Mei Lin
3934,Stella,Pug,5,Blenheim,820.00,1,2023-08-19,10/29-2023,Frédéric Moreau
3201,Toby,Chihuahua,6,Sable,480.25,0,2023-09-28,12/03-2023,Siobhán Murphy
4831,Lily,Pug,4,White,600.00,1,2023-10-13,01/08-2024,François Lavoie
1927,Oliver,Pug,8,Fawn,750.00,1,2023-11-24,02/14-2024,Tatiana Volkova
9730,Nala,Labrador Retriever,3,Silver,710.50,0,2023-12-08,03/25-2024,Bjørnar Solheim
8853,Winston,Dalmatian,5,Liver and white,550.00,1,2024-01-02,,
6428,Mia,Chihuahua,7,Chocolate,420.75,0,2024-02-19,,
2919,Mürphy,Chihuahua,9,White,590.00,1,2024-03-28,,
3170,Rosie,Whippet,2,Rust,690.25,1,2023-04-11,06/22-2023,László Nagy
3916,Louie,French Bulldog,6,White,460.00,0,2023-05-09,07/14-2023,Astrid Nielsen
4372,Abby,Irish Setter,4,White and liver,540.50,1,2023-06-25,08/30-2023,Renáta Horváth
9990,Finn,Dalmatian,5,White,630.00,0,2023-07-16,10/10-2023,Jürgen Schmidt
1964,Chloé,Labrador Retriever,3,Black,920.25,1,2023-08-01,11/05-2023,Valérie Leclerc
1254,Gus,Border Collie,7,Sable,510.00,0,2023-09-14,12/19-2023,Andrés Morales
1372,Maggie,Jack Russel Terrier,4,Red Fawn,780.50,1,2023-10-26,01/28-2024,Sasha Ivanova
2932,Zeus,Jack Russel Terrier,6,Red and white,980.00,1,2023-11-07,02/09-2024,Étienne Roy
3726,Söphie,Beagle,8,Buff,560.75,0,2023-12-20,03/01-2024,María González
7604,Axel,Dalmatian,3,Wheaten,730.00,1,2024-01-15,,
3659,Willow,Whippet,2,Red,770.25,1,2024-02-28,,
2193,Diesel,Border Collie,5,Fawn,700.00,0,2023-03-03,05/15-2023,Irène Dubois
9996,Piper,Whippet,4,Tan,640.50,1,2023-04-18,06/28-2023,Päivi Virtanen
3902,Bentley,Irish Setter,6,Mahogany,660.00,1,2023-05-21,08/04-2023,Fañch Le Gall
2803,Riley,Whippet,7,White and black,570.75,0,2023-06-08,09/12-2023,Saoirse O'Malley
6388,Bandit,Jack Russel Terrier,5,White and tan,490.00,1,2023-07-27,10/18-2023,Nikolaï Volkov
8113,Lola,Jack Russel Terrier,3,White,880.25,0,2023-08-12,11/25-2023,Kristine Barzia
3083,Apollo,Border Collie,4,Gray and white,830.00,1,2023-09-21,12/30-2023,Günther Bauer
6859,Härley,Dalmatian,-3,White and black,740.50,1,2023-10-04,01/07-2024,Elbieta Nowak
9883,Simba,Pug,2,Black Brindle,930.00,0,2023-11-17,02/18-2024,Catilin Popescu
6349,Bailey,Dalmatian,9,Salt and pepper,610.75,1,2023-12-29,03/29-2024,Zoë Papadopoulos
2112,Maya,Bull Terrier,5,Tan,670.00,1,2024-01-01,,
7328,Moose,Jack Russel Terrier,4,White,960.25,0,2024-02-06,,
5850,Athena,Boston Terrier,6,Fawn,890.00,1,2024-03-17,,
6027,Boomer,Boston Terrier,3,Blue Heeler,590.50,1,2023-04-23,07/03-2023,Sigríður Jónsdóttir
